file,benchmark_id,location_group,split,windows,estimated_samples
BEL_Brussels-82_4_T-1.xml,BEL_Brussels-82_4_T-1,BEL_Brussels,val,14,42
BEL_Leuven-24_9_T-1.xml,BEL_Leuven-24_9_T-1,BEL_Leuven,train,14,56
BEL_Putte-8_2_T-1.xml,BEL_Putte-8_2_T-1,BEL_Putte,train,2,8
BRA_BeloHorizonte-12_1_T-4.xml,BRA_BeloHorizonte-12_1_T-4,BRA_BeloHorizonte,train,19,76
BRA_VilaVelha-23_1_T-5.xml,BRA_VilaVelha-23_1_T-5,BRA_VilaVelha,train,14,56
BRA_VilaVelha-35_1_T-2.xml,BRA_VilaVelha-35_1_T-2,BRA_VilaVelha,train,14,56
BRA_VilaVelha-4_1_T-2.xml,BRA_VilaVelha-4_1_T-2,BRA_VilaVelha,train,2,3
BRA_VilaVelha-63_1_T-2.xml,BRA_VilaVelha-63_1_T-2,BRA_VilaVelha,train,14,56
BRA_VilaVelha-66_1_T-8.xml,BRA_VilaVelha-66_1_T-8,BRA_VilaVelha,train,14,56
BRA_VilaVelha-72_1_T-14.xml,BRA_VilaVelha-72_1_T-14,BRA_VilaVelha,train,14,56
BRA_VilaVelha-92_1_T-10.xml,BRA_VilaVelha-92_1_T-10,BRA_VilaVelha,train,14,56
CAN_Ottawa-19_1_T-9.xml,CAN_Ottawa-19_1_T-9,CAN_Ottawa,test,19,76
CAN_Ottawa-36_1_T-13.xml,CAN_Ottawa-36_1_T-13,CAN_Ottawa,test,19,76
CAN_Ottawa-37_1_T-9.xml,CAN_Ottawa-37_1_T-9,CAN_Ottawa,test,19,76
CAN_Ottawa-57_1_T-10.xml,CAN_Ottawa-57_1_T-10,CAN_Ottawa,test,19,76
CAN_Ottawa-7_1_T-12.xml,CAN_Ottawa-7_1_T-12,CAN_Ottawa,test,19,76
CHN_Beijing-5_15_T-1.xml,CHN_Beijing-5_15_T-1,CHN_Beijing,val,14,56
CHN_Beijing-6_8_T-1.xml,CHN_Beijing-6_8_T-1,CHN_Beijing,val,14,56
CHN_Qingdao-30_4_T-1.xml,CHN_Qingdao-30_4_T-1,CHN_Qingdao,train,14,42
