file,benchmark_id,location_group,windows,estimated_samples,reason
BEL_Antwerp-13_2_I-1.xml,BEL_Antwerp-13_2_I-1,BEL_Antwerp,0,0,no valid 8-observation/12-prediction window
BEL_Brussels-46_3_I-1.xml,BEL_Brussels-46_3_I-1,BEL_Brussels,0,0,no valid 8-observation/12-prediction window
CHN_Qingdao-3_2_I-1.xml,CHN_Qingdao-3_2_I-1,CHN_Qingdao,0,0,no valid 8-observation/12-prediction window
CHN_Qingdao-5_14_I-1.xml,CHN_Qingdao-5_14_I-1,CHN_Qingdao,0,0,no valid 8-observation/12-prediction window
CHN_Qingdao-8_12_I-1.xml,CHN_Qingdao-8_12_I-1,CHN_Qingdao,0,0,no valid 8-observation/12-prediction window
CHN_Tianjin-10_17_I-1.xml,CHN_Tianjin-10_17_I-1,CHN_Tianjin,0,0,no valid 8-observation/12-prediction window
CHN_Tianjin-12_23_I-1.xml,CHN_Tianjin-12_23_I-1,CHN_Tianjin,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-10_5_I-1.xml,DEU_Aachen-10_5_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-11_7_I-1.xml,DEU_Aachen-11_7_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-16_21_I-1.xml,DEU_Aachen-16_21_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-24_23_I-1.xml,DEU_Aachen-24_23_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-27_20_I-1.xml,DEU_Aachen-27_20_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-29_54_I-1.xml,DEU_Aachen-29_54_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-30_22_I-1.xml,DEU_Aachen-30_22_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-40_9_I-1.xml,DEU_Aachen-40_9_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-41_17_I-1.xml,DEU_Aachen-41_17_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-42_16_I-1.xml,DEU_Aachen-42_16_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-48_24_I-1.xml,DEU_Aachen-48_24_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-48_35_I-1.xml,DEU_Aachen-48_35_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-50_48_I-1.xml,DEU_Aachen-50_48_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-50_8_I-1.xml,DEU_Aachen-50_8_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-61_8_I-1.xml,DEU_Aachen-61_8_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-66_6_I-1.xml,DEU_Aachen-66_6_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-6_31_I-1.xml,DEU_Aachen-6_31_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-72_13_I-1.xml,DEU_Aachen-72_13_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aachen-78_2_I-1.xml,DEU_Aachen-78_2_I-1,DEU_Aachen,0,0,no valid 8-observation/12-prediction window
DEU_Aschaffenburg-64_5_I-1.xml,DEU_Aschaffenburg-64_5_I-1,DEU_Aschaffenburg,0,0,no valid 8-observation/12-prediction window
DEU_Bonn-22_17_I-1.xml,DEU_Bonn-22_17_I-1,DEU_Bonn,0,0,no valid 8-observation/12-prediction window
DEU_Bremen-1_9_I-1.xml,DEU_Bremen-1_9_I-1,DEU_Bremen,0,0,no valid 8-observation/12-prediction window
DEU_Bremen-22_32_I-1.xml,DEU_Bremen-22_32_I-1,DEU_Bremen,0,0,no valid 8-observation/12-prediction window
DEU_Bremen-27_5_I-1.xml,DEU_Bremen-27_5_I-1,DEU_Bremen,0,0,no valid 8-observation/12-prediction window
DEU_Bremen-45_9_I-1.xml,DEU_Bremen-45_9_I-1,DEU_Bremen,0,0,no valid 8-observation/12-prediction window
DEU_Bremen-9_23_I-1.xml,DEU_Bremen-9_23_I-1,DEU_Bremen,0,0,no valid 8-observation/12-prediction window
DEU_Bremen-9_47_I-1.xml,DEU_Bremen-9_47_I-1,DEU_Bremen,0,0,no valid 8-observation/12-prediction window
DEU_Cologne-10_7_I-1.xml,DEU_Cologne-10_7_I-1,DEU_Cologne,0,0,no valid 8-observation/12-prediction window
DEU_Cologne-14_23_I-1.xml,DEU_Cologne-14_23_I-1,DEU_Cologne,0,0,no valid 8-observation/12-prediction window
DEU_Cologne-15_15_I-1.xml,DEU_Cologne-15_15_I-1,DEU_Cologne,0,0,no valid 8-observation/12-prediction window
DEU_Cologne-17_1_I-1.xml,DEU_Cologne-17_1_I-1,DEU_Cologne,0,0,no valid 8-observation/12-prediction window
